Format Version,1.23,Take Name,Take 2024-07-17 09.12.15 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-17 09.12.15.319 AM,Total Frames in Take,11539,Total Exported Frames,11539,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
178,1.483333,-0.023031,0.999286,-0.004487,-0.029598,-1.424455,0.229416,-0.102274
179,1.491667,-0.022982,0.999287,-0.004476,-0.029630,-1.424449,0.229410,-0.102276
180,1.500000,-0.023017,0.999288,-0.004438,-0.029569,-1.424478,0.229423,-0.102291
181,1.508333,-0.023015,0.999286,-0.004475,-0.029626,-1.424455,0.229426,-0.102291
182,1.516667,-0.022974,0.999288,-0.004380,-0.029612,-1.424451,0.229450,-0.102276
183,1.525000,-0.022966,0.999290,-0.004408,-0.029533,-1.424430,0.229428,-0.102280
184,1.533333,-0.022997,0.999289,-0.004427,-0.029561,-1.424442,0.229418,-0.102281
185,1.541667,-0.022999,0.999291,-0.004444,-0.029476,-1.424469,0.229432,-0.102277
186,1.550000,-0.022955,0.999291,-0.004423,-0.029529,-1.424444,0.229429,-0.102252
187,1.558333,-0.022937,0.999289,-0.004513,-0.029596,-1.424455,0.229417,-0.102268
188,1.566667,-0.023008,0.999290,-0.004674,-0.029476,-1.424454,0.229435,-0.102233
189,1.575000,-0.022973,0.999288,-0.004492,-0.029588,-1.424456,0.229415,-0.102261
190,1.583333,-0.022991,0.999288,-0.004486,-0.029591,-1.424452,0.229424,-0.102278
191,1.591667,-0.022967,0.999288,-0.004474,-0.029589,-1.424459,0.229433,-0.102278
192,1.600000,-0.023009,0.999286,-0.004476,-0.029618,-1.424451,0.229440,-0.102288
193,1.608333,-0.022975,0.999288,-0.004456,-0.029608,-1.424452,0.229420,-0.102284
194,1.616667,-0.023007,0.999288,-0.004387,-0.029579,-1.424444,0.229438,-0.102262
195,1.625000,-0.022988,0.999289,-0.004397,-0.029568,-1.424429,0.229424,-0.102278
196,1.633333,-0.022944,0.999289,-0.004360,-0.029585,-1.424451,0.229440,-0.102270
197,1.641667,-0.022937,0.999290,-0.004373,-0.029554,-1.424428,0.229439,-0.102279
198,1.650000,-0.022932,0.999292,-0.004415,-0.029515,-1.424463,0.229448,-0.102282
199,1.658333,-0.022976,0.999289,-0.004670,-0.029539,-1.424459,0.229444,-0.102244
200,1.666667,-0.023069,0.999287,-0.004639,-0.029543,-1.424448,0.229438,-0.102264
201,1.675000,-0.023002,0.999287,-0.004510,-0.029584,-1.424442,0.229421,-0.102267
202,1.683333,-0.023010,0.999286,-0.004603,-0.029610,-1.424456,0.229411,-0.102274
203,1.691667,-0.023017,0.999287,-0.004438,-0.029603,-1.424453,0.229431,-0.102275
204,1.700000,-0.022841,0.999293,-0.004900,-0.029446,-1.424460,0.229384,-0.102214
205,1.708333,-0.023018,0.999286,-0.004398,-0.029636,-1.424447,0.229433,-0.102274
206,1.716667,-0.022985,0.999289,-0.004370,-0.029580,-1.424440,0.229424,-0.102285
207,1.725000,-0.022981,0.999288,-0.004415,-0.029608,-1.424437,0.229436,-0.102298
208,1.733333,-0.022939,0.999289,-0.004457,-0.029601,-1.424435,0.229425,-0.102307
209,1.741667,-0.022964,0.999288,-0.004517,-0.029590,-1.424431,0.229425,-0.102289
210,1.750000,,,,,,,
211,1.758333,-0.023005,0.999290,-0.004639,-0.029486,-1.424445,0.229420,-0.102267
212,1.766667,-0.023032,0.999287,-0.004482,-0.029575,-1.424436,0.229412,-0.102289
213,1.775000,-0.022995,0.999288,-0.004529,-0.029570,-1.424441,0.229410,-0.102274
214,1.783333,-0.023071,0.999287,-0.004621,-0.029541,-1.424452,0.229440,-0.102270
215,1.791667,-0.023012,0.999287,-0.004495,-0.029603,-1.424448,0.229418,-0.102287
216,1.800000,-0.023027,0.999287,-0.004455,-0.029593,-1.424442,0.229429,-0.102290
217,1.808333,-0.023009,0.999287,-0.004424,-0.029592,-1.424453,0.229433,-0.102286
218,1.816667,-0.022994,0.999288,-0.004405,-0.029578,-1.424463,0.229431,-0.102287
219,1.825000,-0.023021,0.999286,-0.004480,-0.029616,-1.424450,0.229421,-0.102280
220,1.833333,-0.022965,0.999289,-0.004432,-0.029557,-1.424438,0.229417,-0.102283
221,1.841667,-0.022989,0.999289,-0.004372,-0.029570,-1.424447,0.229427,-0.102273
222,1.850000,-0.022998,0.999289,-0.004446,-0.029543,-1.424442,0.229423,-0.102280
223,1.858333,-0.023004,0.999289,-0.004484,-0.029551,-1.424449,0.229422,-0.102285
224,1.866667,-0.022963,0.999289,-0.004558,-0.029556,-1.424442,0.229413,-0.102276
225,1.875000,-0.022991,0.999288,-0.004516,-0.029559,-1.424449,0.229416,-0.102278
226,1.883333,-0.023013,0.999288,-0.004490,-0.029571,-1.424460,0.229411,-0.102279
227,1.891667,,,,,,,
228,1.900000,-0.023015,0.999287,-0.004452,-0.029602,-1.424461,0.229421,-0.102278
229,1.908333,-0.023032,0.999287,-0.004420,-0.029588,-1.424458,0.229445,-0.102285
230,1.916667,-0.023025,0.999287,-0.004370,-0.029593,-1.424466,0.229426,-0.102291
231,1.925000,-0.023040,0.999288,-0.004424,-0.029551,-1.424436,0.229425,-0.102290
232,1.933333,-0.022983,0.999289,-0.004429,-0.029560,-1.424444,0.229428,-0.102296
233,1.941667,-0.022991,0.999289,-0.004443,-0.029538,-1.424445,0.229415,-0.102283
234,1.950000,,,,,,,
235,1.958333,,,,,,,
236,1.966667,-0.023017,0.999288,-0.004666,-0.029521,-1.424467,0.229436,-0.102254
237,1.975000,-0.022990,0.999288,-0.004520,-0.029569,-1.424454,0.229411,-0.102255
238,1.983333,,,,,,,
239,1.991667,,,,,,,
240,2.000000,-0.023022,0.999286,-0.004470,-0.029623,-1.424457,0.229440,-0.102278
241,2.008333,-0.023028,0.999287,-0.004475,-0.029598,-1.424462,0.229443,-0.102288
242,2.016667,-0.023008,0.999287,-0.004417,-0.029600,-1.424451,0.229436,-0.102302
243,2.025000,-0.022988,0.999289,-0.004461,-0.029555,-1.424453,0.229419,-0.102276
244,2.033333,-0.022977,0.999290,-0.004403,-0.029544,-1.424458,0.229449,-0.102272
245,2.041667,-0.023012,0.999287,-0.004453,-0.029583,-1.424437,0.229436,-0.102295
246,2.050000,-0.022983,0.999289,-0.004518,-0.029552,-1.424449,0.229428,-0.102288
247,2.058333,-0.022971,0.999289,-0.004476,-0.029564,-1.424452,0.229419,-0.102275
248,2.066667,,,,,,,
249,2.075000,,,,,,,
250,2.083333,,,,,,,
251,2.091667,,,,,,,
252,2.100000,-0.022990,0.999287,-0.004399,-0.029616,-1.424452,0.229424,-0.102268
253,2.108333,,,,,,,
254,2.116667,-0.022949,0.999290,-0.004430,-0.029553,-1.424446,0.229434,-0.102279
255,2.125000,-0.022975,0.999287,-0.004462,-0.029618,-1.424436,0.229430,-0.102288
256,2.133333,-0.022971,0.999288,-0.004415,-0.029599,-1.424450,0.229428,-0.102286
257,2.141667,-0.022980,0.999290,-0.004406,-0.029536,-1.424447,0.229423,-0.102279
258,2.150000,-0.022948,0.999289,-0.004486,-0.029567,-1.424443,0.229404,-0.102273
259,2.158333,-0.022993,0.999288,-0.004484,-0.029575,-1.424444,0.229416,-0.102271
260,2.166667,-0.022872,0.999295,-0.005039,-0.029360,-1.424450,0.229381,-0.102176
261,2.175000,-0.022842,0.999294,-0.004909,-0.029441,-1.424460,0.229383,-0.102214
262,2.183333,-0.023067,0.999286,-0.004691,-0.029542,-1.424462,0.229427,-0.102261
263,2.191667,-0.023097,0.999286,-0.004643,-0.029542,-1.424458,0.229429,-0.102264
264,2.200000,-0.022878,0.999292,-0.004834,-0.029465,-1.424463,0.229364,-0.102206
265,2.208333,-0.023013,0.999287,-0.004398,-0.029609,-1.424470,0.229443,-0.102278
266,2.216667,-0.023021,0.999288,-0.004390,-0.029568,-1.424456,0.229411,-0.102266
267,2.225000,-0.023026,0.999287,-0.004424,-0.029580,-1.424449,0.229426,-0.102291
268,2.233333,-0.022972,0.999290,-0.004398,-0.029535,-1.424444,0.229428,-0.102275
